collected_at_utc,collected_at_germany,system_name,domain,city_uid,city_name,place_uid,place_number,name,address,lat,lng,is_station,is_floating_bike,active_place,maintenance,terminal_type,place_type,booked_bikes,bikes,bikes_available_to_rent,bike_racks,free_racks,special_racks,free_special_racks,bike_types_json,bike_count_from_list
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,71521070,42500,Dyckerhoffstraße,,50.031319,8.262545,True,False,1,False,,19,0,8,8,8,0,0,0,"{""188"": 4, ""191"": 2, ""295"": 2}",8
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,71521071,42501,Erzbergerstraße,"Erzbergerstraße - Karlsbader Str., Kreuzungpunkt Erzbergerstraße - Karlsbader Str.",50.011991,8.229076,True,False,1,False,,19,0,4,4,7,3,0,0,"{""188"": 2, ""295"": 1, ""348"": 1}",4
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,71723315,42502,Binger Straße,,50.024891,8.173474,True,False,1,False,,14,0,13,13,12,0,0,0,"{""188"": 4, ""191"": 9}",13
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74471647,42505,Am Gonsenheimer Wald,,50.004795,8.201106,True,False,1,True,,19,0,6,6,8,2,0,0,"{""188"": 2, ""191"": 1, ""295"": 3}",6
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472031,42506,Am Großberg,,49.971746,8.285507,True,False,1,False,,14,0,1,1,8,5,0,0,"{""348"": 1}",1
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472033,42508,Am Schinnergraben,,49.963506,8.280199,True,False,1,True,,14,0,9,9,6,0,0,0,"{""191"": 1, ""295"": 5, ""348"": 3}",9
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472034,42509,Am Sportfeld,,50.007299,8.208225,True,False,1,False,,19,0,2,2,8,6,0,0,"{""188"": 1, ""348"": 1}",2
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472035,42510,Am Zollhafen,,50.01248,8.26589,True,False,1,True,,19,0,6,6,12,6,0,0,"{""188"": 4, ""191"": 2}",6
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472036,42511,An der Philippsschanze,,49.990063,8.263731,True,False,1,False,,14,0,2,2,20,18,0,0,"{""191"": 1, ""225"": 1}",2
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472037,42512,Martin-Luther-Straße,,49.982399,8.279636,True,False,1,False,,14,0,1,1,8,6,0,0,"{""348"": 1}",1
