osm_type,osm_id,name,tag_key,tag_value,amenity,tourism,shop,leisure,public_transport,railway,highway,historic,office,addr_street,addr_housenumber,lon,lat,all_tags_json
node,4414614209,Deutsches Kabarettarchiv,amenity,arts_centre,arts_centre,,,,,,,,,Neue Universitätsstraße,2,8.2653550,49.9993760,"{""addr:city"": ""Mainz"", ""addr:housenumber"": ""2"", ""addr:postcode"": ""55116"", ""addr:street"": ""Neue Universitätsstraße"", ""amenity"": ""arts_centre"", ""check_date"": ""2025-10-12"", ""email"": ""archiv@kabarett.de"", ""fax"": ""+49 6131 231675"", ""info"": ""Eingang über Neue Universitätsstraße 2"", ""name"": ""Deutsches Kabarettarchiv"", ""opening_hours"": ""Mo-Th 09:00-16:00,Fr 09:00-14:00"", ""phone"": ""+49 6131 144730"", ""website"": ""https://kabarett.de/"", ""wheelchair"": ""no"", ""wikidata"": ""Q1205757"", ""wikipedia"": ""de:Deutsches Kabarettarchiv""}"
node,1447398027,Frankfurter Hof,amenity,arts_centre,arts_centre,,,,,,,,,,,8.2742367,49.9971049,"{""amenity"": ""arts_centre"", ""check_date"": ""2023-05-24"", ""name"": ""Frankfurter Hof"", ""phone"": ""+49 6131 220438"", ""toilets:wheelchair"": ""yes"", ""website"": ""https://www.frankfurter-hof-mainz.de/"", ""wheelchair"": ""yes"", ""wheelchair:description"": ""Stufenloser Eingang über Badergasse (Nebeneingang)""}"
way,149268810,LUX – Pavillon der Hochschule Mainz,amenity,arts_centre,arts_centre,gallery,,,,,,,,Ludwigsstraße,2,8.2689187,49.9978574,"{""addr:city"": ""Mainz"", ""addr:country"": ""DE"", ""addr:housenumber"": ""2"", ""addr:postcode"": ""55116"", ""addr:street"": ""Ludwigsstraße"", ""amenity"": ""arts_centre"", ""building"": ""commercial"", ""building:levels"": ""4"", ""check_date"": ""2025-03-23"", ""check_date:opening_hours"": ""2022-07-22"", ""description"": ""Das Schaufenster der Hochschule Mainz. Ein transparenter Ort, Multiplikator und Schnittstelle — von Themen und Thesen, von Impulsen und Geistesblitzen. Eine neue Konstante in der Stadt – interdisziplinär, inspirierend und informativ. Auf lichtdurchflutete"", ""email"": ""lux@hs-mainz.de"", ""fee"": ""no"", ""name"": ""LUX – Pavillon der Hochschule Mainz"", ""opening_hours"": ""Tu-Th 12:00-18:00; Fr,Sa 10:00-18:00"", ""operator"": ""Hochschule Mainz"", ""operator:type"": ""public"", ""phone"": ""+49 6313 628 2256"", ""roof:levels"": ""0"", ""roof:shape"": ""flat"", ""tourism"": ""gallery"", ""website"": ""https://lux.hs-mainz.de"", ""wheelchair"": ""yes""}"
node,6040102499,M8,amenity,arts_centre,arts_centre,,,,,,,,,,,8.2720088,50.0039868,"{""amenity"": ""arts_centre"", ""check_date"": ""2025-01-29"", ""name"": ""M8"", ""note"": ""befindet sich im 1. Stock des HDJ"", ""website"": ""https://www.m8-mainz.de/""}"
node,7130654917,Villa Musica,amenity,arts_centre,arts_centre,,,,,,,,,Auf der Bastei,3,8.2616015,49.9967346,"{""addr:city"": ""Mainz"", ""addr:housenumber"": ""3"", ""addr:postcode"": ""55131"", ""addr:street"": ""Auf der Bastei"", ""amenity"": ""arts_centre"", ""check_date"": ""2026-01-04"", ""name"": ""Villa Musica"", ""website"": ""https://www.villamusica.de/"", ""wikidata"": ""Q2525486"", ""wikipedia"": ""de:Villa Musica""}"
node,12172799867,Zentrum Baukultur,amenity,arts_centre,arts_centre,,,,,,,,,Rheinstraße,55,8.2755519,50.0007749,"{""addr:city"": ""Mainz"", ""addr:country"": ""DE"", ""addr:housenumber"": ""55"", ""addr:postcode"": ""55116"", ""addr:street"": ""Rheinstraße"", ""amenity"": ""arts_centre"", ""email"": ""info@zentrumbaukultur.de"", ""name"": ""Zentrum Baukultur"", ""opening_hours"": ""We-Su 14:00-18:00"", ""operator"": ""Stiftung Baukultur Rheinland-Pfalz"", ""phone"": ""+49 6131 3274210"", ""website"": ""https://www.zentrumbaukultur.de/veranstaltungen/aktuelle-veranstaltungen.html"", ""wheelchair"": ""no""}"
node,5342731121,Commerzbank,amenity,atm,atm,,,,,,,,,,,8.2667605,50.0027622,"{""amenity"": ""atm"", ""brand"": ""Commerzbank"", ""brand:wikidata"": ""Q157617"", ""brand:wikipedia"": ""de:Commerzbank"", ""cash_in"": ""yes"", ""check_date"": ""2023-12-15"", ""currency:EUR"": ""yes"", ""drive_through"": ""no"", ""indoor"": ""yes"", ""name"": ""Commerzbank"", ""opening_hours"": ""06:00-23:00"", ""operator"": ""Commerzbank"", ""operator:wikidata"": ""Q157617"", ""operator:wikipedia"": ""de:Commerzbank"", ""wheelchair"": ""yes""}"
node,2139383059,Deutsche Bank,amenity,atm,atm,,,,,,,,,,,8.2699144,49.9981001,"{""amenity"": ""atm"", ""brand"": ""Deutsche Bank"", ""brand:wikidata"": ""Q66048"", ""brand:wikipedia"": ""en:Deutsche Bank"", ""check_date"": ""2025-03-23"", ""designation"": ""Cash Group"", ""fee"": ""free for Cash Group members, others according to local notice"", ""name"": ""Deutsche Bank"", ""operator"": ""Deutsche Bank"", ""operator:wikidata"": ""Q66048"", ""operator:wikipedia"": ""en:Deutsche Bank"", ""source"": ""local_knowledge""}"
node,710922365,Deutsche Bank AG,amenity,atm,atm,,,,,,,,,,,8.2699946,49.9981148,"{""amenity"": ""atm"", ""check_date"": ""2025-03-23"", ""designation"": ""Cash Group"", ""fee"": ""free for Cash Group members, others according to local notice"", ""operator"": ""Deutsche Bank AG"", ""source"": ""local_knowledge""}"
node,9212414757,Euronet,amenity,atm,atm,,,,,,,,,,,8.2713387,50.0008844,"{""amenity"": ""atm"", ""brand"": ""Euronet"", ""brand:wikidata"": ""Q5412010"", ""brand:wikipedia"": ""en:Euronet Worldwide"", ""cash_in"": ""no"", ""check_date"": ""2025-01-21"", ""name"": ""Euronet"", ""operator"": ""Euronet"", ""operator:wikidata"": ""Q5412010"", ""operator:wikipedia"": ""en:Euronet Worldwide""}"
